station_id,station_name,latitude,longitude,_total_elements,_unique_feature_types,aeroway,amenity,barrier,boundary,building,craft,emergency,healthcare,highway,historic,industrial,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,shop,sport,tourism,water,waterway
site_103,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,121649,16,NA,"bank,cafe,fuel,parking,parking_space,restaurant","gate,lift_gate,wall",administrative,"apartments,dormitory,kiosk,university",NA,NA,NA,"bus_stop,elevator,footway,living_street,residential,service,steps,tertiary,trunk,trunk_link,unclassified",NA,industrial,"construction,depot,education,industrial,residential","park,pitch",wastewater_plant,NA,"water,wood",government,neighbourhood,NA,platform,"rail,switch","convenience,electronics,sports","basketball,cricket,soccer,tennis",NA,wastewater,NA
site_105,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,19434,14,NA,"atm,bank,charging_station,recycling","gate,wall","administrative,political",commercial,electrician,NA,NA,"bus_stop,footway,living_street,path,residential,secondary,service,tertiary",NA,NA,"garages,industrial,railway,residential",park,works,NA,NA,NA,neighbourhood,NA,"platform,station,stop_area,stop_position","platform,rail,station,subway","dairy,interior_decoration,optician",NA,"guest_house,museum",NA,drain
site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,7280,13,NA,"atm,drinking_water,hospital,mortuary,parking,place_of_worship,police,shelter,toilets","gate,wall",administrative,"hospital,mosque,public,retail,storage_tank,toilets",NA,fire_hydrantNA,NA,"footway,path,residential,secondary,secondary_link,service,tertiary,unclassified",NA,NA,"grass,hospital,residential","garden,park,pitch","pumping_station,reservoir_covered,storage_tank",NA,"tree,water,wetland,wood",NA,city,generator,NA,"rail,technical_station","beverages,convenience",,"artwork,hostel,hotel",pond,NA
site_111,"Sector - 62, Noida - IMD",28.6245479,77.3577104,2965,9,NA,college,gate,administrative,"apartments,college,commercial,school",NA,NA,NA,"bus_stop,living_street,residential,service,tertiary,tertiary_link,unclassified",NA,industrial,"commercial,education,farmland,institutional","park,garden",NA,NA,tree,government,city,"line,substation,tower",platform,NA,NA,NA,NA,NA,canal
site_113,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,21700,12,NA,"atm,bank,events_venue,hospital,pub,research_institute","gate,lift_gate,wall","administrative,political",train_station,NA,NA,NA,"bus_stop,living_street,residential,secondary,service,tertiary,track,unclassified",,NA,"farmland,industrial,residential,retail",park,NA,NA,NA,NA,neighbourhood,line,"halt,platform,station,stop_area,stop_position","construction,halt,proposed,rail,station,stop,subway,subway_entrance",furniture,NA,NA,NA,drain
site_122,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,16681,17,NA,"arts_centre,atm,bicycle_rental,clinic,community_centre,drinking_water,fuel,library,parking,place_of_worship,police,school,shelter,theatre,toilets","bollard,gate,kerb,wall",administrative,"apartments,church,commercial,public,residential,retail,roof,school,shed,temple",NA,fire_extinguisher,NA,"bus_stop,crossing,cycleway,footway,residential,secondary,secondary_link,service,steps,tertiary,tertiary_link,traffic_signals",building,NA,"commercial,place_of_worship,residential","fitness_station,nature_reserve,park,pitch,playground,swimming_pool","mast,monitoring_station",NA,"scrub,tree",political_party,"city, quarter",generator,platform,subway,"art,convenience","basketball,cricket;soccer,field_hockey,tennis",NA,NA,NA
site_124,"R K Puram, Delhi - DPCC",28.563262,77.186937,18958,20,NA,"Ayurvedic_Hospital,atm,bank,bench,clinic,community_centre,dentist,fast_food,fuel,hospital,kindergarten,parking,place_of_worship,post_office,restaurant,school,shelter,toilets",gate,administrative,"apartments,bungalow,commercial,construction,hotel,house,kindergarten,roof,school,temple",NA,fire_extinguisher,NA,"bus_stop,crossing,footway,living_street,path,residential,secondary,secondary_link,service,steps,street_lamp,tertiary,tertiary_link,traffic_signals",memorial,NA,"commercial,education,grass,religious,residential","fitness_centre,park,pitch,playground,stadium,swimming_pool","mast,water_tower",NA,"grassland,tree,wood",government,neighbourhood,generator,platform,construction,"car,clothes,convenience,electrical,supermarket",tennis,"artwork,guest_house,hostel,hotel",NA,drain
site_125,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,18437,10,NA,"bank,blood_bank,college,fast_food,fuel,hospital,marketplace,parking,place_of_worship,police,restaurant,school","gate,wall","administrative,political","commercial,house",NA,NA,NA,"bus_stop,footway,living_street,primary,residential,service,tertiary,traffic_signals",NA,NA,"hospital,industrial,railway,residential","garden,park,pitch",NA,NA,NA,NA,neighbourhood,NA,"platform,station,stop_area,stop_position","buffer_stop,level_crossing,rail,station,stop,subway","cafe,dosa point","basketball,volleyball",NA,NA,NA
site_146,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,13217,10,NA,"clinic,courthouse,dentist,fuel,hospital,motorcycle_parking,parking,place_of_worship,police","gate,wall",administrative,residential,NA,NA,"dentist,hospital","footway,living_street,motorway,motorway_link,primary,residential,secondary,service,tertiary",NA,NA,"commercial,military,residential",park,water_tank,NA,scrub,government,suburb,NA,NA,NA,motorcycle_repair,NA,NA,tank,NA
site_168,"Bandra, Mumbai - MPCB",19.0627,72.84614,65289,18,NA,"atm,bank,bench,bus_station,clinic,college,community_centre,dentist,fast_food,hospital,kindergarten,money_transfer,parking,pharmacy,place_of_worship,police,post_office,restaurant,school,toilets,university",gate,administrative,"apartments,commercial,construction,hospital,house,office,place_of_worship,residential,school,temple,train_station",NA,NA,"centre,clinic,dentist,hospital,pharmacy","bus_stop,footway,living_street,motorway,motorway_link,path,primary,residential,service,steps,tertiary,tertiary_link,traffic_signals",NA,NA,"commercial,construction,education,meadow,railway,recreation_ground,residential","park,pitch,playground,sports_centre,swimming_pool",pipeline,NA,"scrub,tree","government,ngo","locality,neighbourhood,suburb",NA,"platform,station,stop_area","buffer_stop,level_crossing,platform,rail,station,subway,switch","alcohol,car_repair,chemist,confectionery,convenience,dairy,doityourself,dry_cleaning,electronics,gas,general,greengrocer,hairdresser,jewelry,pastry,pet,photo,stationery,supermarket","cricket,cricket;swimming;running;badminton;billiards;table_tennis","apartment,artwork,hostel",NA,drain
site_136,"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,22327,11,NA,"cafe,ice_cream",gate,administrative,"house,mosque,roof",NA,NA,NA,"residential,secondary,service,tertiary,tertiary_link,trunk,trunk_link",castle,NA,"grass,residential",swimming_pool,NA,NA,tree,educational_institution,"neighbourhood,city",NA,"platform,busstop","level_crossing,rail",NA,swimming,hotel,NA,NA
site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,134366,17,NA,"atm,blood_bank,cafe,dentist,hospital,parking,pharmacy,place_of_worship,post_office,restaurant,school","gate,lift_gate",administrative,"apartments,commercial,construction,hospital,hotel,office,residential,roof,terrace",NA,NA,"dentist,hospital,pharmacy","construction,crossing,elevator,footway,path,proposed,residential,service,street_lamp,tertiary,tertiary_link,track,trunk,trunk_link,unclassified",NA,Manufacturer,"cemetery,commercial,construction,orchard,recreation_ground,residential","garden,park,pitch,sports_centre,sports_hall,swimming_pool","bridge,pipeline",NA,"scrub,water,wetland","company,coworking,it",,"city,city_block",NA,"construction,subway","copyshop,pastry","basketball,soccer,swimming,tennis",hotel,"drain,lake","drain,river,weir"
site_159,"Collectorate, Gaya - BSPCB",24.7955,84.9994,43672,9,NA,"cinema,hospital,place_of_worship",NA,administrative,house,NA,NA,NA,"footway,primary,residential,service,tertiary,trunk,unclassified",NA,NA,"railway,residential",park,NA,NA,grassland,NA,neighbourhood,substation,platform,"platform,rail,switch",chicken shop,NA,NA,NA,stream
site_134,"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901,13988,16,NA,"atm,bank,bar,bicycle_rental,cafe,clinic,community_centre,dentist,doctors,fast_food,fuel,hospital,pharmacy,place_of_worship,police,post_office,restaurant,school","bollard,fence,gate","administrative,local_authority","apartments,church,hotel,retail,roof",NA,NA,"clinic,dentist,doctor,hospital,pharmacy","bus_stop,living_street,primary,primary_link,residential,rest_area,service,tertiary,track,traffic_signals,trunk,trunk_link,unclassified",memorial,NA,grass,park,tower,NA,NA,"government,it",locality,tower,"platform,stop_position","construction,subway","alcohol,car,clothes,dry_cleaning,jewelry,kiosk,mall,mobile_phone,motorcycle,supermarket,travel_agency,tyres",NA,"guest_house,hostel,hotel,museum",NA,canal
site_198,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,1561,11,NA,"clinic,college,dentist,hospital,place_of_worship",NA,public_transport,college,NA,NA,diagnosis,"residential,service,tertiary,tertiary_link,unclassified",NA,NA,"industrial,residential", common,works,NA,water,educational_institution,locality,"line,substation,tower","platform,busstop",NA,convenience,NA,NA,NA,NA
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,28592,9,helipad,"Reasearch_Center,bar","gate,wall",administrative,"residential,office",NA,NA,NA,"path,residential,service,tertiary,tertiary_link,track,trunk,trunk_link,unclassified",building,NA,"farmland,industrial","park,garden,pitch","water_tower,works",NA,"tree,garde",research,city,"generator,line,plant,substation,tower",NA,rail,NA,NA,NA,NA,NA
site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,36586,19,NA,"atm,bank,cafe,fuel,hospital,ice_cream,library,monastery,parking,place_of_worship,police,post_office,restaurant,school,toilets",gate,administrative,"apartments,church,commercial,government,hospital,house,mosque,residential",electronics_repair,NA,NA,"bus_stop,path,primary,residential,secondary,service,services,tertiary,traffic_signals","castle,memorial,monument",NA,"commercial,residential","fitness_centre,garden,pitch,playground",NA,NA,"water,wood","company,educational_institution,financial,government,insurance,political_party,telecommunication","neighbourhood,plot,suburb",NA,platform,proposed,"baby_goods,bakery,clothes,electrical,furniture,greengrocer,hifi,jewelry,mobile_phone,motorcycle,motorcycle_repair,oilchips,seafood,shoes,sports,supermarket",cricket,"apartment,artwork,hostel,hotel,museum",pond,"river,stream"
site_253,"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,1909,9,NA,"bar,bicycle_parking,cafe,community_centre,fast_food,fuel,library,parking,school,shelter,university",NA,administrative,college,NA,NA,NA,"residential,service,track,unclassified",NA,NA,commercial,"garden,stadium",NA,NA,NA,NA,suburb,line,NA,NA,florist,hockey,"hostel,museum",NA,NA
site_254,"Tata Stadium, Jorapokhar - JSPCB",23.707909,86.41467,5079,8,NA,hospital,"gate,entrance",administrative,stadium,NA,landing_site,NA,"residential,service,tertiary,trunk",NA,NA,residential,"pitch,stadium",NA,NA,NA,NA,suburb,NA,NA,"level_crossing,rail,razed",hotel,cricket,stadium,NA,NA
site_255,"RIMT University, Mandi Gobindgarh - PPCB",30.649961,76.331442,10053,7,NA,college,NA,administrative,NA,NA,NA,NA,"residential,service,tertiary,track,unclassified",NA,NA,"industrial,residential",park,NA,NA,NA,NA,city,"line,tower",NA,"construction,rail",,NA,NA,NA,NA
site_256,"Golden Temple, Amritsar - PPCB",31.62,74.876512,3793,12,NA,"atm,bank,bench,cafe,cloakroom,drinking_water,fast_food,fountain,library,marketplace,motorcycle_parking,parking,parking_entrance,place_of_worship,post_office,public_bath,restaurant,toilets","bollard,entrance,fence,kerb,wall",administrative,"gurdwara,parking,roof",,NA,NA,"bus_stop,footway,pedestrian,residential,service,steps,tertiary","memorial,monument",NA,religious,"garden,outdoor_seating,park","pier,tower,water_tap,water_tower,water_well",NA,"tree,water",NA,"city, quarter",NA,platform,NA,"bakery,clothes,confectionery,convenience,department_store,gift,mall,shoes,supermarket,tea,ticket",NA,"attraction,guest_house,hostel,hotel,information,museum","pond,reservoir",NA
site_257,"PWD Grounds, Vijayawada - APPCB",16.507014,80.627767,50903,19,NA,"atm,bank,bar,cafe,cinema,clinic,courthouse,dentist,fast_food,fixme,fountain,fuel,hospital,library,parking,pharmacy,restaurant,townhall","gate,wall",administrative,"commercial,house,residential",museam,NA,"blood_bank,dentist,hospital,optometrist,pharmacy","bus_stop,footway,residential,secondary,secondary_link,service,street_lamp,tertiary,trunk,trunk_link","memorial,statue,museum",NA,"construction,grass","garden,park,pitch","storage_tank,water_tower",,"grassland,tree,water","company,educational_institution,financial,government,ngo,political_party",suburb,pole,platform,proposed,"books,car_parts,clothes,computer,furniture,hairdresser,hardware,jewelry,mall,mobile_phone,money_lender,motorcycle_repair,optician,rice,shoes,supermarket,ticket,tyres",tennis,"artwork,attraction,hostel,hotel,museum","canal,river",canal
site_258,"Toll Gate, Tirumala - APPCB",13.67,79.35,4849,11,NA,"restaurant,telephone",toll_booth,administrative,NA,NA,NA,NA,"bus_stop,crossing,footway,primary,residential,service,steps,tertiary,unclassified",NA,NA,"commercial,grass,industrial,residential",park,NA,NA,scrub,NA,neighbourhood,"generator,line,substation,tower",NA,NA,greengrocer,NA,information,NA,NA
site_260,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,18961,19,NA,"atm,bank,bar,college,community_centre,dentist,hospital,pharmacy,place_of_worship,post_office,restaurant,school,taxi,veterinary_pharmacy","entrance,gate,wall",local_authority,"apartments,commercial,hotel,house,residential,retail",NA,NA,"centre,dentist,hospital,pharmacy","bus_stop,crossing,cycleway,footway,path,primary,residential,secondary,service,sidewalk,street_lamp,tertiary,tertiary_link",NA,NA,"commercial,grass,residential,retail","fitness_centre,garden,park,playground","mast,surveillance,tower,water_tower",NA,"tree,tree_row,water","company,energy_supplier,financial,government,insurance,ngo,security","neighbourhood,suburb",transformer,"2,platform",NA,"alcohol,appliance,bag,bakery,books,car_parts,clothes,confectionery,electrical,electronics,furniture,general,gift,hairdresser,household_linen,jewelry,mall,mobile_phone,mobile_phone_accessories,motorcycle,motorcycle_repair,pet,shoes,watches,water",yoga,"aquarium,artwork,hostel,hotel",pond,drain
